basin,horizon,xgb_obs_NSE,xgb_oracle_NSE,delta_NSE,n_aligned
verde,1,0.6778010297090578,0.6460029348657462,-0.03179809484331153,1094
verde,3,0.2419543804531734,0.5129453279102041,0.2709909474570307,1092
verde,7,0.19784671178627555,0.3363843799382895,0.13853766815201396,1088
james,1,0.9414774749667193,0.9385819466666501,-0.002895528300069228,1094
james,3,0.4786902477577194,0.6489592686534251,0.17026902089570572,1092
james,7,0.29408778513828737,0.4763367959699405,0.18224901083165312,1088
potomac,1,0.9197539986179517,0.927646823080914,0.007892824462962245,1092
potomac,3,0.465239369213964,0.7094418404070106,0.2442024711930466,1090
potomac,7,0.11356299489795052,0.46013271850108006,0.34656972360312954,1086
willamette,1,0.9853636249580734,0.9874147724647078,0.0020511475066343765,1094
willamette,3,0.8054459008221112,0.9173212699138731,0.11187536909176188,1092
willamette,7,0.5175815224290632,0.8230153285534265,0.3054338061243633,1088
animas,1,0.984289558301141,0.9850088953938543,0.0007193370927133236,1094
animas,3,0.9121067040972985,0.9200856152286234,0.007978911131324873,1092
animas,7,0.8471602347667238,0.8519825823176779,0.00482234755095412,1088
