basin,horizon,lin_obs_NSE,lin_oracle_NSE,lin_delta_NSE,xgb_obs_NSE,xgb_oracle_NSE,xgb_delta_NSE,n_lin,n_xgb
potomac,1,0.8735268585105815,0.8760439723411572,0.0025171138305756235,0.9197539986179517,0.927646823080914,0.007892824462962245,1092,1092
potomac,3,0.3325506839595129,0.4066255712791923,0.07407488731967937,0.465239369213964,0.7094418404070106,0.2442024711930466,1090,1090
potomac,7,-0.012685514029492584,0.1658857676477653,0.1785712816772579,0.11356299489795052,0.46013271850108006,0.34656972360312954,1086,1086
animas,1,0.9877252702565038,0.9881626170665715,0.0004373468100676847,0.984289558301141,0.9850088953938543,0.0007193370927133236,1094,1094
animas,3,0.920811686594341,0.922771313259745,0.0019596266654040573,0.9121067040972985,0.9200856152286234,0.007978911131324873,1092,1092
animas,7,0.8471541733050765,0.8485281414102339,0.0013739681051574415,0.8471602347667238,0.8519825823176779,0.00482234755095412,1088,1088
bow,1,0.9793560274094147,0.9797872186880013,0.00043119127858659567,0.8712049278628415,0.8648551796059144,-0.006349748256927135,755,755
bow,3,0.8952658045634343,0.885824522072394,-0.00944128249104026,0.9156324625193186,0.46555145759699346,-0.45008100492232517,753,753
bow,7,0.7440123175103086,0.768588252716203,0.024575935205894406,0.8556186422617721,0.7203108568177907,-0.13530778544398137,749,749
verde,1,0.6095968950922548,0.6152339652960368,0.005637070203782013,0.6778010297090578,0.6460029348657462,-0.03179809484331153,1094,1094
verde,3,-0.06417340712326802,0.011050982899093453,0.07522439002236148,0.2419543804531734,0.5129453279102041,0.2709909474570307,1092,1092
verde,7,-0.12348633625901351,-0.056131102107011666,0.06735523415200184,0.19784671178627555,0.3363843799382895,0.13853766815201396,1088,1088
