basin,horizon,xgb_obs_NSE,xgb_oracle_NSE,delta_NSE,n_aligned
verde,1,0.678,0.646,-0.032,1094
verde,3,0.242,0.513,0.271,1092
verde,7,0.198,0.336,0.139,1088
james,1,0.941,0.939,-0.003,1094
james,3,0.479,0.649,0.17,1092
james,7,0.294,0.476,0.182,1088
potomac,1,0.92,0.928,0.008,1092
potomac,3,0.465,0.709,0.244,1090
potomac,7,0.114,0.46,0.347,1086
willamette,1,0.985,0.987,0.002,1094
willamette,3,0.805,0.917,0.112,1092
willamette,7,0.518,0.823,0.305,1088
animas,1,0.984,0.985,0.001,1094
animas,3,0.912,0.92,0.008,1092
animas,7,0.847,0.852,0.005,1088
