basin,horizon,p90_cfs,n_test,persist_CSI,routing_CSI,xgb_CSI,persist_NSE,routing_NSE,xgb_NSE,n_events
verde,1,402.0,1095,0.794,0.54,0.828,0.421,0.605,0.678,139
verde,3,402.0,1095,0.571,0.553,0.513,-0.196,0.245,0.242,139
verde,7,402.0,1095,0.495,0.494,0.412,-0.13,0.188,0.198,139
james,1,15700.0,1095,0.588,0.775,0.845,0.773,0.92,0.941,77
james,3,15700.0,1095,0.238,0.256,0.364,0.293,0.435,0.479,77
james,7,15700.0,1095,0.194,0.092,0.16,-0.052,0.235,0.288,77
potomac,1,26200.0,1093,0.56,0.622,0.766,0.787,0.861,0.92,39
potomac,3,26200.0,1093,0.162,0.2,0.328,0.164,0.38,0.465,39
potomac,7,26200.0,1093,0.064,0.038,0.075,-0.393,0.072,0.11,39
willamette,1,47600.0,1095,0.761,0.807,0.835,0.95,0.97,0.985,96
willamette,3,47600.0,1095,0.52,0.52,0.61,0.73,0.771,0.805,96
willamette,7,47600.0,1095,0.322,0.29,0.317,0.418,0.51,0.511,96
animas,1,1860.0,1095,0.925,0.914,0.904,0.977,0.98,0.984,103
animas,3,1860.0,1095,0.823,0.886,0.829,0.895,0.904,0.912,103
animas,7,1860.0,1095,0.661,0.687,0.687,0.812,0.848,0.847,103
