lead_mo,model,RMSE,skill_vs_persist,skill_vs_clim,hypoxia_F1,CSI
1,persistence,8.265,0.0,-1.434,0.6,0.429
1,climatology,5.298,0.589,0.0,0.671,0.505
1,lstm_anomaly,5.311,0.587,-0.005,0.665,0.498
1,st_transformer,3.876,0.78,0.465,0.741,0.588
1,hybrid_clim_st,3.876,0.78,0.465,0.741,0.588
2,persistence,14.815,0.0,-7.031,0.357,0.217
2,climatology,5.228,0.875,0.0,0.719,0.561
2,lstm_anomaly,6.06,0.833,-0.344,0.696,0.534
2,st_transformer,5.832,0.845,-0.245,0.701,0.54
2,hybrid_clim_st,5.083,0.882,0.054,0.742,0.59
3,persistence,20.319,0.0,-14.233,0.235,0.133
3,climatology,5.206,0.934,0.0,0.7,0.539
3,lstm_anomaly,7.537,0.862,-1.096,0.629,0.458
3,st_transformer,9.81,0.767,-2.551,0.537,0.367
3,hybrid_clim_st,5.222,0.934,-0.006,0.703,0.542
