basin,horizon,lin_obs_NSE,lin_oracle_NSE,lin_delta_NSE,xgb_obs_NSE,xgb_oracle_NSE,xgb_delta_NSE,n_lin,n_xgb
potomac,1,0.874,0.876,0.003,0.92,0.928,0.008,1092,1092
potomac,3,0.333,0.407,0.074,0.465,0.709,0.244,1090,1090
potomac,7,-0.013,0.166,0.179,0.114,0.46,0.347,1086,1086
animas,1,0.988,0.988,0.0,0.984,0.985,0.001,1094,1094
animas,3,0.921,0.923,0.002,0.912,0.92,0.008,1092,1092
animas,7,0.847,0.849,0.001,0.847,0.852,0.005,1088,1088
bow,1,0.979,0.98,0.0,0.871,0.865,-0.006,755,755
bow,3,0.895,0.886,-0.009,0.916,0.466,-0.45,753,753
bow,7,0.744,0.769,0.025,0.856,0.72,-0.135,749,749
verde,1,0.61,0.615,0.006,0.678,0.646,-0.032,1094,1094
verde,3,-0.064,0.011,0.075,0.242,0.513,0.271,1092,1092
verde,7,-0.123,-0.056,0.067,0.198,0.336,0.139,1088,1088
