basin,climate,horizon,persistence_NSE,routing_NSE,xgboost_NSE,lstm_attention_NSE,ablation_delta,attn_minus_routing
potomac,humid_mid_atlantic,1,0.787,0.861,0.911,0.93,0.02,0.07
potomac,humid_mid_atlantic,3,0.164,0.38,0.463,0.426,0.091,0.047
potomac,humid_mid_atlantic,7,-0.393,0.072,0.077,0.218,0.285,0.146
james,humid_mid_atlantic,1,0.773,0.92,0.939,0.933,0.129,0.013
james,humid_mid_atlantic,3,0.293,0.435,0.496,0.392,0.09,-0.043
james,humid_mid_atlantic,7,-0.052,0.235,0.292,0.309,0.011,0.074
willamette,humid_pacific_nw,1,0.95,0.97,0.986,0.99,0.003,0.02
willamette,humid_pacific_nw,3,0.73,0.771,0.804,0.754,-0.036,-0.018
willamette,humid_pacific_nw,7,0.418,0.51,0.499,0.361,-0.113,-0.149
animas,snowmelt_rockies,1,0.977,0.98,0.985,0.988,0.01,0.008
animas,snowmelt_rockies,3,0.895,0.904,0.911,0.856,-0.025,-0.048
animas,snowmelt_rockies,7,0.812,0.848,0.849,0.815,0.046,-0.033
verde,semiarid_southwest,1,0.421,0.605,0.664,0.385,0.061,-0.221
verde,semiarid_southwest,3,-0.196,0.245,-0.123,0.13,0.06,-0.116
verde,semiarid_southwest,7,-0.13,0.188,-0.111,0.077,-0.045,-0.112
